title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
REC,movie,"Horror, Mystery, Thriller",2007,tt1038988,7.4,205284,
"My Big Fat Greek Wedding",movie,"Comedy, Drama, Romance",2002,tt0259446,6.6,147631,
"Cast Away",movie,"Adventure, Drama, Romance",2000,tt0162222,7.8,659614,
"Transformers: Revenge of the Fallen",movie,"Action, Adventure, Sci-Fi",2009,tt1055369,6,438915,
"The Boondock Saints",movie,"Action, Crime, Thriller",1999,tt0144117,7.6,255457,
"The Conformist",movie,Drama,1970,tt0065571,7.9,36230,
"Swallowtail Butterfly",movie,"Crime, Drama",1996,tt0117797,7.5,4608,
"Deep Impact",movie,"Action, Drama, Sci-Fi",1998,tt0120647,6.3,195735,
"K-19: The Widowmaker",movie,"Drama, History, Thriller",2002,tt0267626,6.7,69275,
"Cannibals in the Streets",movie,"Drama, Fantasy, Horror",1980,tt0080379,5.5,4541,
"The Final Countdown",movie,"Action, Adventure, Sci-Fi",1980,tt0080736,6.7,28171,
"Hellraiser: Bloodline",movie,"Horror, Sci-Fi",1996,tt0116514,5.1,25566,
"The Road Warrior",movie,"Action, Adventure, Sci-Fi",1981,tt0082694,7.6,206345,
"Conspiracy Theory",movie,"Action, Drama, Mystery",1997,tt0118883,6.7,109969,
"Under Siege",movie,"Action, Thriller",1992,tt0105690,6.5,98257,
"Red Planet",movie,"Action, Sci-Fi, Thriller",2000,tt0199753,5.7,60700,
"Che: Part Two",movie,"Biography, Drama, History",2008,tt0374569,6.8,35613,
"Che: Part One",movie,"Biography, Drama, History",2008,tt0892255,7.1,48695,
"Deep Blue Sea",movie,"Action, Adventure, Sci-Fi",1999,tt0149261,5.9,146516,
"Jeepers Creepers",movie,"Horror, Mystery",2001,tt0263488,6.2,148752,
Hellraiser,movie,"Horror, Thriller",1987,tt0093177,6.9,146614,
"The Great Silence",movie,"Drama, Western",1968,tt0063032,7.7,18959,
"What Happens in Vegas",movie,"Comedy, Romance",2008,tt1033643,6.1,191109,
"Police Story",movie,"Action, Comedy, Crime",1985,tt0089374,7.5,44064,
